OBJECTID,ORGN,DSTN,SHAPE_Length
713,MUTUAL RAILWAY STATION,LANGA,7121.93761103554
714,BLOEKOMBOS,BELLVILLE,16638.1541896694
715,WALLACEDENE,BELLVILLE,14558.5744682849
716,LANGA,GUGULETU,13341.2105339995
717,KHAYELITSHA,NYANGA,11846.2177121142
718,KHAYELITSHA,LANGA,24777.3873800187
719,KHAYELITSHA,LANGA,22950.4455078934
720,DU NOON,BOTHASIG,13373.4584925094
721,DU NOON,MAITLAND RAILWAY STATION,17203.5143934703
722,WESBANK,BELLVILLE,21057.1592110385
723,BELLVILLE,DURBANVILLE,11434.0700090215
724,EERSTE RIVER,FOREST HEIGHTS,10379.285344339
725,DELFT SOUTH,MITCHELLS PLAIN,10058.6438850366
726,NYANGA,CAPE TOWN,22547.9253819911
727,BELLVILLE,ATLANTIS,3650.04043719939
728,LWANDLE,LOURENSFORD FARM,15781.1425614052
729,WYNBERG,CROSS RAODS,25783.9233434609
730,CAPE TOWN,SALT RIVER,6733.2433895558
731,NYANGA,WYNBERG (VIA CLAREMONT),17761.0718813196
732,CROSS ROADS,WYNBERG (VIA CLAREMONT),20754.3045124434
733,GUGULETU,CLAREMONT (VIA WYNBERG),20970.3548735668
734,CROSS ROADS,CLAREMONT (VIA WYNBERG),21238.9948559092
735,KHAYELITSHA,FISANTEKRAAL,44411.3860020437
736,LWANDLE,SOMERSET WEST (VIA MEDI CITY),9054.79091611173
737,BELHAR,BELLVILLE,18716.3960484423
738,BELLVILLE,MITCHELLS PLAIN,26794.3382601444
739,EINDHOVEN,MITCHELLS PLAIN,13236.4311284735
740,VASCO,BOTHASIG,12390.0567608461
741,VASCO,BOTHASIG,12909.3016561602
742,MITCHELLS PLAIN,WYNBERG,23221.2915464529
743,MITCHELLS PLAIN,WYNBERG,29058.2823589978
744,EERSTE RIVER,BELLVILLE,28302.5931985211
745,TYGERBERG RAILWAY STATION,TYGERBERG HOSPITAL,4406.25165072267
746,TYGERBERG RAILWAY STATION,RAVENSMEAD,8583.35392026164
747,TYGERBERG RAILWAY STATION,RAVENSMEAD,3792.56208878036
748,WESBANK,EERSTE RIVER,16676.0147084135
749,DURBANVILLE,VISSERSHOK FARM,10736.4215098816
750,TYGERBERG HOSPITAL,DELFT SOUTH,21745.2474121825
751,KALKFONTEIN,BELLVILLE,11941.0867743107
752,BLOEKOMBOS,KRAAIFONTEIN STATION,3715.49081300989
753,BLOEKOMBOS,DURBANVILLE,9188.65288990175
754,KRAAIFONTEIN,JOOSTENBERG VLAKTE,38238.8572388018
755,SANLAM CENTRE PAROW,DELFT,22096.6577077181
